timestamp,pipa
2025-03-04 01:33:55.961,The summery of two vars = 1133142
2025-03-04 01:33:56.078,The summery of two vars = 1133193
2025-03-04 01:33:56.178,The summery of two vars = 1133235
2025-03-04 01:33:56.286,The summery of two vars = 1133286
2025-03-04 01:33:56.396,The summery of two vars = 1133334
2025-03-04 01:33:56.508,The summery of two vars = 1133385
2025-03-04 01:33:56.620,The summery of two vars = 1133433
2025-03-04 01:33:56.728,The summery of two vars = 1133481
2025-03-04 01:33:56.840,The summery of two vars = 1133529
2025-03-04 01:33:56.942,The summery of two vars = 1133577
2025-03-04 01:33:57.055,The summery of two vars = 1133625
2025-03-04 01:33:57.161,The summery of two vars = 1133673
2025-03-04 01:33:57.272,The summery of two vars = 1133724
2025-03-04 01:33:57.387,The summery of two vars = 1133775
2025-03-04 01:33:57.489,The summery of two vars = 1133820
2025-03-04 01:33:57.602,The summery of two vars = 1133871
2025-03-04 01:33:57.712,The summery of two vars = 1133919
2025-03-04 01:33:57.820,The summery of two vars = 1133967
2025-03-04 01:33:57.928,The summery of two vars = 1134012
2025-03-04 01:33:58.043,The summery of two vars = 1134066
2025-03-04 01:33:58.154,The summery of two vars = 1134114
2025-03-04 01:33:58.256,The summery of two vars = 1134156
2025-03-04 01:33:58.376,The summery of two vars = 1134210
2025-03-04 01:33:58.478,The summery of two vars = 1134258
2025-03-04 01:33:58.594,The summery of two vars = 1134306
2025-03-04 01:33:58.695,The summery of two vars = 1134354
2025-03-04 01:33:58.806,The summery of two vars = 1134402
2025-03-04 01:33:58.911,The summery of two vars = 1134450
2025-03-04 01:33:59.028,The summery of two vars = 1134504
2025-03-04 01:33:59.139,The summery of two vars = 1134549
2025-03-04 01:33:59.244,The summery of two vars = 1134597
2025-03-04 01:33:59.355,The summery of two vars = 1134645
2025-03-04 01:33:59.462,The summery of two vars = 1134693
2025-03-04 01:33:59.575,The summery of two vars = 1134747
2025-03-04 01:33:59.677,The summery of two vars = 1134789
2025-03-04 01:33:59.792,The summery of two vars = 1134840
2025-03-04 01:33:59.903,The summery of two vars = 1134888
2025-03-04 01:34:00.006,The summery of two vars = 1134936
2025-03-04 01:34:00.120,The summery of two vars = 1134984
2025-03-04 01:34:00.228,The summery of two vars = 1135035
2025-03-04 01:34:00.342,The summery of two vars = 1135083
2025-03-04 01:34:00.445,The summery of two vars = 1135128
2025-03-04 01:34:00.557,The summery of two vars = 1135176
2025-03-04 01:34:00.662,The summery of two vars = 1135224
2025-03-04 01:34:00.779,The summery of two vars = 1135275
2025-03-04 01:34:00.888,The summery of two vars = 1135326
2025-03-04 01:34:00.996,The summery of two vars = 1135374
2025-03-04 01:34:01.112,The summery of two vars = 1135425
2025-03-04 01:34:01.208,The summery of two vars = 1135467
2025-03-04 01:34:01.317,The summery of two vars = 1135515
2025-03-04 01:34:01.427,The summery of two vars = 1135563
2025-03-04 01:34:01.536,The summery of two vars = 1135611
2025-03-04 01:34:01.647,The summery of two vars = 1135665
2025-03-04 01:34:01.762,The summery of two vars = 1135713
2025-03-04 01:34:01.879,The summery of two vars = 1135764
2025-03-04 01:34:01.979,The summery of two vars = 1135809
2025-03-04 01:34:02.087,The summery of two vars = 1135857
2025-03-04 01:34:02.195,The summery of two vars = 1135905
2025-03-04 01:34:02.301,The summery of two vars = 1135953
2025-03-04 01:34:02.412,The summery of two vars = 1136001
2025-03-04 01:34:02.526,The summery of two vars = 1136052
2025-03-04 01:34:02.630,The summery of two vars = 1136094
2025-03-04 01:34:02.746,The summery of two vars = 1136148
2025-03-04 01:34:02.848,The summery of two vars = 1136196
2025-03-04 01:34:02.958,The summery of two vars = 1136244
2025-03-04 01:34:03.068,The summery of two vars = 1136289
2025-03-04 01:34:03.178,The summery of two vars = 1136343
2025-03-04 01:34:03.296,The summery of two vars = 1136391
2025-03-04 01:34:03.395,The summery of two vars = 1136436
2025-03-04 01:34:03.506,The summery of two vars = 1136487
2025-03-04 01:34:03.629,The summery of two vars = 1136541
2025-03-04 01:34:03.729,The summery of two vars = 1136583
2025-03-04 01:34:03.846,The summery of two vars = 1136637
2025-03-04 01:34:03.945,The summery of two vars = 1136679
2025-03-04 01:34:04.053,The summery of two vars = 1136724
2025-03-04 01:34:04.162,The summery of two vars = 1136772
2025-03-04 01:34:04.278,The summery of two vars = 1136826
2025-03-04 01:34:04.394,The summery of two vars = 1136880
2025-03-04 01:34:04.496,The summery of two vars = 1136922
2025-03-04 01:34:04.612,The summery of two vars = 1136976
2025-03-04 01:34:04.713,The summery of two vars = 1137018
2025-03-04 01:34:04.824,The summery of two vars = 1137066
2025-03-04 01:34:04.929,The summery of two vars = 1137114
2025-03-04 01:34:05.036,The summery of two vars = 1137162
2025-03-04 01:34:05.145,The summery of two vars = 1137213
2025-03-04 01:34:05.256,The summery of two vars = 1137261
2025-03-04 01:34:05.378,The summery of two vars = 1137315
2025-03-04 01:34:05.478,The summery of two vars = 1137360
2025-03-04 01:34:05.595,The summery of two vars = 1137414
2025-03-04 01:34:05.695,The summery of two vars = 1137456
2025-03-04 01:34:05.803,The summery of two vars = 1137504
2025-03-04 01:34:05.912,The summery of two vars = 1137549
2025-03-04 01:34:06.029,The summery of two vars = 1137606
2025-03-04 01:34:06.141,The summery of two vars = 1137651
2025-03-04 01:34:06.241,The summery of two vars = 1137699
2025-03-04 01:34:06.360,The summery of two vars = 1137750
2025-03-04 01:34:06.462,The summery of two vars = 1137795
2025-03-04 01:34:06.577,The summery of two vars = 1137843
2025-03-04 01:34:06.678,The summery of two vars = 1137891
2025-03-04 01:34:06.795,The summery of two vars = 1137945
2025-03-04 01:34:06.895,The summery of two vars = 1137984
2025-03-04 01:34:07.012,The summery of two vars = 1138041
2025-03-04 01:34:07.115,The summery of two vars = 1138083
2025-03-04 01:34:07.229,The summery of two vars = 1138137
2025-03-04 01:34:07.341,The summery of two vars = 1138185
2025-03-04 01:34:07.446,The summery of two vars = 1138233
2025-03-04 01:34:07.558,The summery of two vars = 1138281
2025-03-04 01:34:07.663,The summery of two vars = 1138329
2025-03-04 01:34:07.778,The summery of two vars = 1138377
2025-03-04 01:34:07.886,The summery of two vars = 1138428
2025-03-04 01:34:07.995,The summery of two vars = 1138476
2025-03-04 01:34:08.104,The summery of two vars = 1138524
2025-03-04 01:34:08.213,The summery of two vars = 1138572
2025-03-04 01:34:08.324,The summery of two vars = 1138620
2025-03-04 01:34:08.429,The summery of two vars = 1138668
2025-03-04 01:34:08.541,The summery of two vars = 1138716
2025-03-04 01:34:08.646,The summery of two vars = 1138764
2025-03-04 01:34:08.760,The summery of two vars = 1138812
2025-03-04 01:34:08.869,The summery of two vars = 1138860
2025-03-04 01:34:08.978,The summery of two vars = 1138914
2025-03-04 01:34:09.089,The summery of two vars = 1138962
2025-03-04 01:34:09.195,The summery of two vars = 1139007
2025-03-04 01:34:09.307,The summery of two vars = 1139055
2025-03-04 01:34:09.412,The summery of two vars = 1139103
2025-03-04 01:34:09.529,The summery of two vars = 1139157
2025-03-04 01:34:09.636,The summery of two vars = 1139205
2025-03-04 01:34:09.746,The summery of two vars = 1139253
2025-03-04 01:34:09.855,The summery of two vars = 1139298
2025-03-04 01:34:09.962,The summery of two vars = 1139343
2025-03-04 01:34:10.074,The summery of two vars = 1139397
2025-03-04 01:34:10.179,The summery of two vars = 1139442
2025-03-04 01:34:10.295,The summery of two vars = 1139496
2025-03-04 01:34:10.395,The summery of two vars = 1139538
2025-03-04 01:34:10.512,The summery of two vars = 1139592
2025-03-04 01:34:10.625,The summery of two vars = 1139640
2025-03-04 01:34:10.731,The summery of two vars = 1139688
2025-03-04 01:34:10.834,The summery of two vars = 1139736
2025-03-04 01:34:10.943,The summery of two vars = 1139781
2025-03-04 01:34:11.053,The summery of two vars = 1139829
2025-03-04 01:34:11.162,The summery of two vars = 1139877
2025-03-04 01:34:11.277,The summery of two vars = 1139931
2025-03-04 01:34:11.386,The summery of two vars = 1139976
2025-03-04 01:34:11.496,The summery of two vars = 1140027
2025-03-04 01:34:11.604,The summery of two vars = 1140075
2025-03-04 01:34:11.712,The summery of two vars = 1140123
2025-03-04 01:34:11.823,The summery of two vars = 1140168
2025-03-04 01:34:11.929,The summery of two vars = 1140216
2025-03-04 01:34:12.041,The summery of two vars = 1140267
2025-03-04 01:34:12.146,The summery of two vars = 1140315
2025-03-04 01:34:12.258,The summery of two vars = 1140366
2025-03-04 01:34:12.369,The summery of two vars = 1140414
2025-03-04 01:34:12.478,The summery of two vars = 1140462
2025-03-04 01:34:12.587,The summery of two vars = 1140507
2025-03-04 01:34:12.693,The summery of two vars = 1140555
2025-03-04 01:34:12.805,The summery of two vars = 1140606
2025-03-04 01:34:12.913,The summery of two vars = 1140654
2025-03-04 01:34:13.025,The summery of two vars = 1140708
2025-03-04 01:34:13.134,The summery of two vars = 1140750
2025-03-04 01:34:13.243,The summery of two vars = 1140798
2025-03-04 01:34:13.350,The summery of two vars = 1140846
2025-03-04 01:34:13.461,The summery of two vars = 1140897
2025-03-04 01:34:13.570,The summery of two vars = 1140945
2025-03-04 01:34:13.679,The summery of two vars = 1140990
2025-03-04 01:34:13.788,The summery of two vars = 1141038
2025-03-04 01:34:13.902,The summery of two vars = 1141092
2025-03-04 01:34:14.013,The summery of two vars = 1141140
2025-03-04 01:34:14.122,The summery of two vars = 1141188
2025-03-04 01:34:14.229,The summery of two vars = 1141236
2025-03-04 01:34:14.340,The summery of two vars = 1141287
2025-03-04 01:34:14.446,The summery of two vars = 1141335
2025-03-04 01:34:14.558,The summery of two vars = 1141383
2025-03-04 01:34:14.662,The summery of two vars = 1141431
2025-03-04 01:34:14.773,The summery of two vars = 1141479
2025-03-04 01:34:14.883,The summery of two vars = 1141527
2025-03-04 01:34:14.993,The summery of two vars = 1141578
2025-03-04 01:34:15.103,The summery of two vars = 1141623
2025-03-04 01:34:15.211,The summery of two vars = 1141671
2025-03-04 01:34:15.322,The summery of two vars = 1141722
2025-03-04 01:34:15.429,The summery of two vars = 1141770
2025-03-04 01:34:15.539,The summery of two vars = 1141818
2025-03-04 01:34:15.648,The summery of two vars = 1141866
2025-03-04 01:34:15.758,The summery of two vars = 1141911
2025-03-04 01:34:15.866,The summery of two vars = 1141965
2025-03-04 01:34:15.976,The summery of two vars = 1142013
2025-03-04 01:34:16.087,The summery of two vars = 1142061
2025-03-04 01:34:16.195,The summery of two vars = 1142109
2025-03-04 01:34:16.306,The summery of two vars = 1142157
2025-03-04 01:34:16.413,The summery of two vars = 1142202
2025-03-04 01:34:16.522,The summery of two vars = 1142256
2025-03-04 01:34:16.631,The summery of two vars = 1142304
2025-03-04 01:34:16.741,The summery of two vars = 1142352
2025-03-04 01:34:16.862,The summery of two vars = 1142406
2025-03-04 01:34:16.958,The summery of two vars = 1142448
2025-03-04 01:34:17.079,The summery of two vars = 1142499
2025-03-04 01:34:17.177,The summery of two vars = 1142541
2025-03-04 01:34:17.296,The summery of two vars = 1142595
2025-03-04 01:34:17.397,The summery of two vars = 1142637
2025-03-04 01:34:17.507,The summery of two vars = 1142691
2025-03-04 01:34:17.616,The summery of two vars = 1142739
2025-03-04 01:34:17.724,The summery of two vars = 1142787
2025-03-04 01:34:17.834,The summery of two vars = 1142835
2025-03-04 01:34:17.944,The summery of two vars = 1142880
2025-03-04 01:34:18.054,The summery of two vars = 1142934
2025-03-04 01:34:18.163,The summery of two vars = 1142982
2025-03-04 01:34:18.272,The summery of two vars = 1143030
2025-03-04 01:34:18.382,The summery of two vars = 1143078
2025-03-04 01:34:18.491,The summery of two vars = 1143126
2025-03-04 01:34:18.600,The summery of two vars = 1143174
2025-03-04 01:34:18.709,The summery of two vars = 1143222
2025-03-04 01:34:18.818,The summery of two vars = 1143270
2025-03-04 01:34:18.928,The summery of two vars = 1143318
2025-03-04 01:34:19.040,The summery of two vars = 1143369
2025-03-04 01:34:19.146,The summery of two vars = 1143417
2025-03-04 01:34:19.257,The summery of two vars = 1143468
2025-03-04 01:34:19.371,The summery of two vars = 1143516
2025-03-04 01:34:19.480,The summery of two vars = 1143564
2025-03-04 01:34:19.597,The summery of two vars = 1143615
2025-03-04 01:34:19.696,The summery of two vars = 1143660
2025-03-04 01:34:19.813,The summery of two vars = 1143711
2025-03-04 01:34:19.913,The summery of two vars = 1143753
2025-03-04 01:34:20.031,The summery of two vars = 1143807
2025-03-04 01:34:20.144,The summery of two vars = 1143861
2025-03-04 01:34:20.246,The summery of two vars = 1143903
2025-03-04 01:34:20.350,The summery of two vars = 1143951
2025-03-04 01:34:20.460,The summery of two vars = 1143996
2025-03-04 01:34:20.570,The summery of two vars = 1144044
2025-03-04 01:34:20.679,The summery of two vars = 1144098
2025-03-04 01:34:20.796,The summery of two vars = 1144146
2025-03-04 01:34:20.897,The summery of two vars = 1144194
2025-03-04 01:34:21.014,The summery of two vars = 1144245
2025-03-04 01:34:21.127,The summery of two vars = 1144293
2025-03-04 01:34:21.230,The summery of two vars = 1144341
2025-03-04 01:34:21.347,The summery of two vars = 1144392
2025-03-04 01:34:21.446,The summery of two vars = 1144437
2025-03-04 01:34:21.563,The summery of two vars = 1144488
2025-03-04 01:34:21.663,The summery of two vars = 1144533
2025-03-04 01:34:21.780,The summery of two vars = 1144584
2025-03-04 01:34:21.892,The summery of two vars = 1144632
2025-03-04 01:34:21.997,The summery of two vars = 1144680
2025-03-04 01:34:22.112,The summery of two vars = 1144731
2025-03-04 01:34:22.214,The summery of two vars = 1144773
2025-03-04 01:34:22.330,The summery of two vars = 1144827
2025-03-04 01:34:22.431,The summery of two vars = 1144872
2025-03-04 01:34:22.547,The summery of two vars = 1144926
2025-03-04 01:34:22.657,The summery of two vars = 1144974
2025-03-04 01:34:22.763,The summery of two vars = 1145019
2025-03-04 01:34:22.867,The summery of two vars = 1145067
2025-03-04 01:34:22.975,The summery of two vars = 1145115
2025-03-04 01:34:23.087,The summery of two vars = 1145163
2025-03-04 01:34:23.194,The summery of two vars = 1145208
2025-03-04 01:34:23.304,The summery of two vars = 1145262
2025-03-04 01:34:23.412,The summery of two vars = 1145307
2025-03-04 01:34:23.522,The summery of two vars = 1145355
2025-03-04 01:34:23.643,The summery of two vars = 1145409
2025-03-04 01:34:23.740,The summery of two vars = 1145451
2025-03-04 01:34:23.850,The summery of two vars = 1145499
2025-03-04 01:34:23.962,The summery of two vars = 1145547
2025-03-04 01:34:24.070,The summery of two vars = 1145595
2025-03-04 01:34:24.180,The summery of two vars = 1145649
2025-03-04 01:34:24.288,The summery of two vars = 1145694
2025-03-04 01:34:24.397,The summery of two vars = 1145742
2025-03-04 01:34:24.511,The summery of two vars = 1145796
2025-03-04 01:34:24.619,The summery of two vars = 1145844
2025-03-04 01:34:24.730,The summery of two vars = 1145892
2025-03-04 01:34:24.843,The summery of two vars = 1145940
2025-03-04 01:34:24.946,The summery of two vars = 1145985
2025-03-04 01:34:25.054,The summery of two vars = 1146036
2025-03-04 01:34:25.163,The summery of two vars = 1146081
2025-03-04 01:34:25.274,The summery of two vars = 1146132
2025-03-04 01:34:25.381,The summery of two vars = 1146177
2025-03-04 01:34:25.492,The summery of two vars = 1146225
2025-03-04 01:34:25.602,The summery of two vars = 1146276
2025-03-04 01:34:25.713,The summery of two vars = 1146324
2025-03-04 01:34:25.822,The summery of two vars = 1146375
2025-03-04 01:34:25.930,The summery of two vars = 1146423
2025-03-04 01:34:26.043,The summery of two vars = 1146474
2025-03-04 01:34:26.147,The summery of two vars = 1146516
2025-03-04 01:34:26.263,The summery of two vars = 1146570
2025-03-04 01:34:26.367,The summery of two vars = 1146615
2025-03-04 01:34:26.476,The summery of two vars = 1146663
2025-03-04 01:34:26.586,The summery of two vars = 1146714
2025-03-04 01:34:26.694,The summery of two vars = 1146762
2025-03-04 01:34:26.804,The summery of two vars = 1146810
2025-03-04 01:34:26.914,The summery of two vars = 1146858
2025-03-04 01:34:27.022,The summery of two vars = 1146906
2025-03-04 01:34:27.132,The summery of two vars = 1146954
2025-03-04 01:34:27.247,The summery of two vars = 1147005
2025-03-04 01:34:27.355,The summery of two vars = 1147053
2025-03-04 01:34:27.463,The summery of two vars = 1147101
2025-03-04 01:34:27.580,The summery of two vars = 1147152
2025-03-04 01:34:27.678,The summery of two vars = 1147197
2025-03-04 01:34:27.791,The summery of two vars = 1147248
2025-03-04 01:34:27.902,The summery of two vars = 1147299
2025-03-04 01:34:28.014,The summery of two vars = 1147344
2025-03-04 01:34:28.120,The summery of two vars = 1147392
2025-03-04 01:34:28.230,The summery of two vars = 1147440
2025-03-04 01:34:28.339,The summery of two vars = 1147491
2025-03-04 01:34:28.444,The summery of two vars = 1147533
2025-03-04 01:34:28.556,The summery of two vars = 1147587
2025-03-04 01:34:28.664,The summery of two vars = 1147632
2025-03-04 01:34:28.779,The summery of two vars = 1147683
2025-03-04 01:34:28.886,The summery of two vars = 1147731
2025-03-04 01:34:28.997,The summery of two vars = 1147779
2025-03-04 01:34:29.108,The summery of two vars = 1147830
2025-03-04 01:34:29.215,The summery of two vars = 1147878
2025-03-04 01:34:29.328,The summery of two vars = 1147929
2025-03-04 01:34:29.430,The summery of two vars = 1147971
2025-03-04 01:34:29.547,The summery of two vars = 1148022
2025-03-04 01:34:29.659,The summery of two vars = 1148076
2025-03-04 01:34:29.764,The summery of two vars = 1148124
2025-03-04 01:34:29.878,The summery of two vars = 1148172
2025-03-04 01:34:29.980,The summery of two vars = 1148217
2025-03-04 01:34:30.084,The summery of two vars = 1148265
2025-03-04 01:34:30.194,The summery of two vars = 1148310
2025-03-04 01:34:30.305,The summery of two vars = 1148361
